max_utility,utility_type,dc2_total_surplus,scale_param,mix_param,dc1_total_surplus,max,sb_total_surplus,goods_num,min
0.9239635252390646,random,0.9239635252390646,1.0,0.1,0.9323587984813181,1.0,0.9239635252390646,5,0.6976898068723967
1.0,vex,1.0,1.0,0.1,1.0,1.0,0.8631054538464183,5,0.3485857676652586
0.6602753395180264,cav,1.0,1.0,0.1,1.0,1.0,1.0,5,0.5698872465783041
0.9657127494406357,random,1.0,1.0,0.5,1.0,1.0,0.9657127494406357,5,0.7910125219880809
1.0,vex,0.9999999999999998,1.0,0.5,0.9999999999999998,1.0,1.0,5,0.6176616844673939
0.7734616600889731,cav,1.0,1.0,0.5,1.0,1.0,0.7734616600889731,5,0.704275971752529
0.85988688542277,random,1.0,1.0,0.8,1.0,1.0,0.85988688542277,5,0.8392816046716688
1.0,vex,0.9999999999999999,1.0,0.8,0.9999999999999999,1.0,0.9760372194291922,5,0.7919294819365199
0.8445177481210305,cav,1.0,1.0,0.8,1.0,1.0,0.9822869783001493,5,0.8242807546346534
1.0,random,1.0000000000000002,1.5,0.0,1.0000000000000002,1.0,1.0,5,0.6178660819701334
1.0,vex,1.0000000000000002,1.5,0.0,1.0000000000000002,1.0,1.0,5,0.5820453728502097
0.8895061482170288,cav,0.9862363483406155,1.5,0.0,0.9862363483406155,1.0,0.8895061482170288,5,0.6282267894745057
1.0,random,0.942759052150041,1.5,0.1,1.0,1.0,1.0,5,0.5162875457678265
1.0,vex,1.0,1.5,0.1,1.0,1.0,1.0,5,0.3651013083393947
0.8686691757485235,cav,0.9538066564228178,1.5,0.1,0.9538066564228178,1.0,0.8686691757485235,5,0.44848307683136607
1.0,random,1.0,1.5,0.5,1.0,1.0,1.0,5,0.647352302547484
1.0,vex,1.0,1.5,0.5,1.0,1.0,1.0,5,0.5400117625051399
0.856055078018055,cav,1.0,1.5,0.5,1.0,1.0,0.856055078018055,5,0.6062247334639499
0.9637063326928966,random,0.9841228697204848,1.5,0.8,0.9841228697204848,1.0,0.9637063326928966,5,0.7034321147417884
1.0,vex,1.0,1.5,0.8,1.0,1.0,1.0,5,0.667542225568
0.9412814529667769,cav,0.9859728082188646,1.5,0.8,0.9859728082188646,1.0,0.9412814529667769,5,0.6870636630325461
1.0,random,1.0,2.0,0.0,1.0,1.0,1.0,5,0.3552394054212822
1.0,vex,1.0,2.0,0.0,1.0,1.0,1.0,5,0.2841314130568602
0.9336126768996892,cav,0.9666963990594122,2.0,0.0,0.9666963990594122,1.0,0.9336126768996892,5,0.3316560122356172
0.7821661530181923,random,1.0,2.0,0.1,1.0,1.0,1.0,5,0.768684330747299
1.0,vex,1.0,2.0,0.1,1.0,1.0,0.9827634803438248,5,0.6615401955098206
0.7568743387122774,cav,1.0,2.0,0.1,1.0,1.0,0.9806097276926413,5,0.7438284592958087
1.0,random,0.798510428699065,2.0,0.5,0.798510428699065,1.0,1.0,5,0.38811157556403153
1.0,vex,1.0,2.0,0.5,1.0,1.0,1.0,5,0.38347318892771215
0.9953830286618358,cav,0.9433451014405904,2.0,0.5,0.9433451014405904,1.0,0.9953830286618358,5,0.38631967554364255
0.8034144164428015,random,1.0,2.0,0.8,1.0,1.0,0.8034144164428015,5,0.40253868600479886
1.0,vex,0.9999999999999999,2.0,0.8,0.9999999999999999,1.0,1.0,5,0.2431390258966268
0.7949783417193607,cav,0.9999999999999998,2.0,0.8,0.9999999999999998,1.0,0.7949783417193607,5,0.39831191789520026
1.0,random,0.8847527198307508,5.0,0.0,0.8847527198307508,1.0,1.0,5,0.1746400640241569
1.0,vex,0.9999999999999999,5.0,0.0,0.9999999999999999,1.0,1.0,5,0.17464006402415688
1.0,cav,0.9128005771328056,5.0,0.0,0.9128005771328056,1.0,1.0,5,0.1746400640241569
1.0,random,1.0,5.0,0.1,1.0,1.0,1.0,5,0.12293872654367226
1.0,vex,1.0,5.0,0.1,1.0,1.0,1.0,5,0.12293872654367226
1.0,cav,0.8631555431185811,5.0,0.1,0.8631555431185811,1.0,1.0,5,0.12293872654367226
1.0,random,1.0,5.0,0.5,1.0,1.0,1.0,5,0.19299663619393573
1.0,vex,1.0,5.0,0.5,1.0,1.0,1.0,5,0.19299663619393576
