dc_gr,utility_type,min_max_gr,goods_num,max_min_gr,familiar_share_gr,sb_gr
0.7889810810544843,vex,0.5779621621089686,15,1.0,1.0,0.9464712850182769
0.8516080843119691,cav,0.7032161686239382,15,1.0,0.7032161686239382,0.7408584264847482
0.9324555296526138,random,0.8649110593052277,16,1.0,1.0,0.9891296603984473
0.7003643304787703,vex,0.40072866095754084,16,1.0,1.0,0.8739344272434878
0.8126423814356405,cav,0.625284762871281,16,1.0,0.625284762871281,0.7041116446385689
0.9087662168417611,random,0.8175324336835221,17,1.0,0.9610890375713684,0.954276415149106
0.7738042169983502,vex,0.5476084339967006,17,1.0,1.0,0.9335634249277969
0.8442597793210155,cav,0.688519558642031,17,1.0,0.688519558642031,0.7342624399884325
0.877449754184876,random,0.7548995083697522,18,1.0,0.760717384874166,0.7548995083697521
0.7301125486367517,vex,0.46022509727350347,18,1.0,1.0,0.9026873194291962
0.8247227884508602,cav,0.6494455769017204,18,1.0,0.6494455769017204,0.7126448668748789
0.9089754789858855,random,0.8179509579717713,19,1.0,0.8603235544371248,0.8544199225019794
0.7463991209403626,vex,0.49279824188072535,19,1.0,1.0,0.9451023026917158
0.8317405896765361,cav,0.6634811793530722,19,1.0,0.6634811793530722,0.6999047683069406
0.9511233952860084,random,0.902246790572017,20,1.0,0.9235218574249207,0.9235218574249207
0.7644489175411642,vex,0.5288978350823285,20,1.0,1.0,0.9498529615485972
0.8398812209809927,cav,0.6797624419619855,20,1.0,0.6797624419619855,0.7138505152768726
0.9914517809831878,random,0.9829035619663754,3,1.0,0.9829035619663754,0.9829035619663754
0.8607954158665583,vex,0.7215908317331166,3,1.0,1.0,0.984230189479466
0.8911110874445942,cav,0.7822221748891884,3,1.0,0.7822221748891884,0.7945576703721509
0.888299884874481,random,0.776599769748962,4,1.0,0.9851050226989493,0.9851050226989493
0.7807820114358424,vex,0.5615640228716847,4,1.0,1.0,0.9652568858573471
0.8475997597044234,cav,0.6951995194088469,4,1.0,0.6951995194088469,0.719352915663586
0.9734032160684111,random,0.946806432136822,5,1.0,0.9558611348805393,0.9558611348805393
0.9048412852076058,vex,0.8096825704152113,5,1.0,1.0,1.0
0.9200560183130411,cav,0.8401120366260821,5,1.0,0.8401120366260821,0.8401120366260821
0.7948656971163366,random,0.589731394232673,6,1.0,1.0,1.0
0.7052995363525171,vex,0.4105990727050341,6,1.0,1.0,0.940399381803356
0.814583936257644,cav,0.629167872515288,6,1.0,0.629167872515288,0.6666666666666666
0.8404365423522995,random,0.6808730847045988,7,1.0,1.0,1.0
0.7844418283120763,vex,0.5688836566241526,7,1.0,1.0,0.9454685452217814
0.8493776046331457,cav,0.6987552092662913,7,1.0,0.6987552092662913,0.7368593473614408
0.7701059494956943,random,0.5402118989913887,8,1.0,1.0,1.0
0.7019694954646178,vex,0.40393899092923574,8,1.0,1.0,0.9153964705670531
0.813271232840343,cav,0.6265424656806858,8,1.0,0.6265424656806858,0.6795501696168929
0.893784472157487,random,0.7875689443149743,9,1.0,0.9312500802841291,0.9267497390467744
0.7052258123593604,vex,0.4104516247187208,9,1.0,1.0,0.9114988420386493
0.8145547551590069,cav,0.6291095103180138,9,1.0,0.6291095103180138,0.6847864304656563
0.8962118861362094,random,0.7924237722724189,10,1.0,0.7924237722724189,0.7964473319658886
0.7432069543328014,vex,0.48641390866560275,10,1.0,1.0,0.9595192482197328
0.8303413019336042,cav,0.6606826038672083,10,1.0,0.6606826038672083,0.6874275323598976
0.8812279569000127,random,0.7624559138000252,11,1.0,0.7624559138000252,0.7624559138000252
0.7454368564303958,vex,0.49087371286079157,11,1.0,1.0,0.9017894361947288
0.8313175340334377,cav,0.6626350680668751,11,1.0,0.6626350680668751,0.7277128316988671
0.8868164003094688,random,0.7736328006189377,12,1.0,0.7736328006189377,0.7998423037497183
0.7657752205342022,vex,0.5315504410684043,12,1.0,1.0,0.9597317913301179
0.8404951821183333,cav,0.6809903642366667,12,1.0,0.6809903642366667,0.7084126263259277
0.8600899036473356,random,0.7201798072946711,13,1.0,1.0,0.9652677361308998
0.8075591735857242,vex,0.6151183471714484,13,1.0,1.0,0.9404135189286761
0.8610416810553991,cav,0.7220833621107983,13,1.0,0.7220833621107983,0.7651097686991313
0.9199823455643849,random,0.8399646911287696,14,1.0,0.8861026941480178,0.9010819940277037
0.6708464478019459,vex,0.34169289560389177,14,1.0,1.0,0.8739198288784861
0.8015123065411222,cav,0.6030246130822443,14,1.0,0.6030246130822443,0.6790540594901382
0.8674311204760052,random,0.7348622409520104,15,1.0,1.0,1.0
0.7568331086147634,vex,0.5136662172295268,15,1.0,1.0,0.963652614745773
0.8363981938619586,cav,0.6727963877239171,15,1.0,0.6727963877239171,0.6972507772261707
0.9178801261176118,random,0.8357602522352238,16,1.0,0.9533603121100053,0.9533603121100053
0.7751538385046695,vex,0.5503076770093389,16,1.0,1.0,0.9183179172455993
0.8449007710605232,cav,0.6898015421210463,16,1.0,0.6898015421210463,0.7461459687686909
0.9349927804596357,random,0.8699855609192714,17,1.0,1.0,1.0
0.8088886644411266,vex,0.6177773288822533,17,1.0,1.0,0.9633866508319151
0.8617362169263731,cav,0.7234724338527462,17,1.0,0.7234724338527462,0.7499611826868811
0.9577130494804497,random,0.9154260989608994,18,1.0,0.9154260989608994,0.9154260989608994
0.8556107257062376,vex,0.7112214514124753,18,1.0,1.0,0.9848202412379327
0.8879642476575901,cav,0.7759284953151802,18,1.0,0.7759284953151802,0.7877069026906787
0.9478376429216492,random,0.8956752858432985,19,1.0,0.9825562378432334,0.9761887529708899
0.7596814072887615,vex,0.5193628145775232,19,1.0,1.0,0.9315695346960033
