utility_type,mix_param,dc_gr_sum,goods_num,scale_param,sb_gr_sum,max,min,familiar_share_gr_sum
random-cav,0.0,0.8934396247155495,10,1,0.834958506203167,1.0,0.8035372242589316,0.8067895454344165
cav-vex,0.0,0.9758524994268875,10,1,0.9627075569460161,1.0,0.9379301782599094,0.9913814132018107
random-cav,0.8,0.8939579699138587,10,1,0.8252310985231307,1.0,0.8171139220340831,0.8230629460039729
cav-vex,0.8,0.9714742345987794,10,1,0.9646905550106971,1.0,0.9474290207034075,0.9543268079053479
random-cav,0.0,0.7349161089311961,10,5,0.6455490191761469,1.0,0.2155899886156859,0.5724951344575223
cav-vex,0.0,0.4727182738784008,10,5,0.5471465331688773,1.0,0.23126710243893145,0.6159833890658202
random-cav,0.8,0.6735935207522269,10,5,0.6028110218058922,1.0,0.2016216923273415,0.6008108461636706
cav-vex,0.8,0.5447366959374464,10,5,0.6000442307289314,1.0,0.2016216923273415,0.6008108461636708
random-cav,0.0,0.8856028959782416,11,1,0.7825121784288191,1.0,0.6891630379866207,0.7424221191377768
cav-vex,0.0,0.9564426879409001,11,1,0.9405109430741873,1.0,0.8564293897531091,0.9226149508684479
random-cav,0.8,0.8323870492367108,11,1,0.7628160269023645,1.0,0.7308381044451187,0.7314122841001915
cav-vex,0.8,0.9768595373412055,11,1,0.9725425007425058,1.0,0.958655191216466,0.9594083543365587
random-cav,0.0,0.7451106997939626,11,5,0.6854220368421644,1.0,0.2907272889663052,0.6435363249871011
cav-vex,0.0,0.5551496008861241,11,5,0.6047814471710431,1.0,0.2881256451917448,0.6458968447809137
random-cav,0.8,0.6977192410151397,11,5,0.626727471407109,1.0,0.21879241311675157,0.6059845624462109
cav-vex,0.8,0.5365935902387563,11,5,0.5944891988519847,1.0,0.2202955531705726,0.6101477765852863
random-cav,0.0,0.886722227651229,12,1,0.8309291496931822,1.0,0.7518647711820091,0.8048183861581227
cav-vex,0.0,0.9268639364528742,12,1,0.9234424641287041,1.0,0.8624745853110509,0.9382660952956117
random-cav,0.8,0.8805930924497405,12,1,0.807963334045992,1.0,0.7880172251154451,0.8018912181022977
cav-vex,0.8,0.9725342610277472,12,1,0.9662651548225326,1.0,0.9350161217259918,0.9514782074545365
random-cav,0.0,0.7437947164770536,12,5,0.6378188841831369,1.0,0.23828581866761842,0.6191429093338092
cav-vex,0.0,0.5360275009888453,12,5,0.6109460783865207,1.0,0.23828581866761842,0.6191429093338092
random-cav,0.8,0.6617000644242677,12,5,0.6072959783869457,1.0,0.19293776079031955,0.5964688803951598
cav-vex,0.8,0.5454576632568997,12,5,0.589237604507382,1.0,0.1929377607903195,0.5964688803951598
